Heading,Description,Date_Source
Mulayam Singh Yadav's decision ensured mortal remains of martyrs reach home - Details,"Mulayam Singh Yadav death: Samajwadi Party founder, strategist and trained wrestler, Mulayam Singh Yadav was a pivot for opposition politics for decades and a veteran of many a political battle in his home ‘akhara’ Uttar Pradesh whose influence transcended boundaries of the state.","India TV News Desk | October 10, 2022 18:29 IST"
"PM Modi to inaugurate 'Mahakal Lok' corridor today, Ujjain decked up",Mahakal Lok Inauguration: The new corridor measures over 900 meters in length and is dotted with 108 ornate sandstone columns in a row bearing decorative 'Trishul' design on top and 'mudras' of Lord Shiva on its faces.,"India TV News Desk | October 11, 2022 6:43 IST"
"Uddhav Thackeray challenges EC's decision on freezing Shiv Sena name, symbol",Shiv Sena bow and arrow symbol row: The petition has arrayed ECI and Maharashtra Chief Minister Eknathrao Sambhaji Shinde as parties.,"India TV News Desk | October 10, 2022 17:36 IST"
"Trinamool, BJP fight it out over clashes between two groups in Kolkata","Trinamool Congress clash: The saffron camp claimed law and order have worsened in West Bengal, drawing a sharp retort from the ruling TMC, which accused the BJP of trying to vitiate the state's atmosphere.","India TV News Desk | October 10, 2022 15:59 IST"
Is this a court's job? SC shoots down plea to declare cow as national animal,"Cow as national animal: ""Is this the job of the court? Why do you file such petitions where we are compelled to impose costs? Which fundamental right is violated? Should we throw law to the winds because you come to court? the bench said.","India TV News Desk | October 10, 2022 16:01 IST"
Delhi Police files FIR against organisers for 'hate speech' event in Dilshad Garden,Hate speech in Delhi: Delhi BJP MP Parvesh Verma allegedly called for total boycott of a community to protest the killing of a Hindu youth in northeast Delhi.,"India TV News Desk | October 10, 2022 14:46 IST"
West didn't supply weapons for long as it saw military dictatorship in region as partner: Jaishankar,"S Jaishankar on US partnership: During a joint press meet with his Australian counterpart Penny Wong here, Jaishankar also said that India and Russia have a long-standing relationship that has certainly served New Delhi's interests well.","India TV News Desk | October 10, 2022 14:37 IST"
"DCW writes to Union Minister Anurag Thakur, seeks ouster of filmmaker Sajid Khan from Bigg Boss",DCW chief Swati Maliwal wrote to Union Minister Anurag Thakur after the channel did not pay heed to the rising demand to oust filmmaker Sajid Khan from Bigg Boss show.,"India TV News Desk | October 10, 2022 14:29 IST"
Mulayam Singh Yadav death: What does being `Netaji’ mean in book of Indian politics,Mulayam Singh Yadav death: Mulayam Singh Yadav left an indelible mark on the history of Indian politics. He will be known for his work aiming social justice for the backward class.,"India TV News Desk | October 10, 2022 14:13 IST"
'Won't allow Urban Naxals to destroy life of Gujarat youth': PM Modi,PM Modi in Gujarat: The PM was speaking after laying the foundation stone of the country's first bulk drug park in Gujarat's Bharuch district.,"India TV News Desk | October 10, 2022 13:23 IST"
Rains cool Delhi by two degrees; traffic jams abound,Delhi weather: Rains over the last couple of days have not only brought the mercury down but have also thrown a spanner in vehicular traffic.,"India TV News Desk | October 10, 2022 13:12 IST"
"Uttarkashi avalanche: Five more bodies discovered, brought back to camp in Matli","Uttarkashi avalanche: The discovery of five more bodies on Monday takes the number of bodies brought down from the summit camp so far to 26, Uttarkashi District Magistrate Abhishek Ruhela said.","India TV News Desk | October 10, 2022 13:09 IST"
'Want you to become PM again': When Mulayam Singh Yadav hailed Modi in Lok Sabha | WATCH,"Mulayam Singh Yadav death: 82-year-old former defence minister was admitted to Gurugram's Medanta Hospital in August and was shifted to the Intensive Care Unit (ICU) on October 2. He passed away on Monday (October 10, 2022).","India TV News Desk | October 10, 2022 13:09 IST"
Delhi excise policy case: CBI arrests Hyderabad-based businessman,Delhi excise policy case: Boinpally is not named as an accused in the Central Bureau of Investigation FIR pertaining to the case but his close associate and partner Arun Ramchandra Pillai is.,"India TV News Desk | October 10, 2022 12:25 IST"
"'Mulayam's death marks end of major pillar of socialism,' says UP CM Yogi, announces state mourning","Mulayam Singh death: His death marked the end of a major pillar of socialism and a struggling era. I pray for the peace of the departed soul and express my condolences to the bereaved family and supporters.""","India TV News Desk | October 10, 2022 12:33 IST"
Mulayam Singh Yadav death: From wrestler to 'Netaji'- his undaunted political journey in 10 points,"Mulayam Singh Yadav death: Nathu Singh, the Socialist Party MLA from Jaswantnagar, was impressed with Mulayam after meeting him at a wrestling contest in 1960s. His meeting with Singh catapulted him into the political ring.","India TV News Desk | October 10, 2022 16:11 IST"
'His demise pains me': PM Modi condoles death of Mulayam Singh Yadav,"Mulayam Singh Yadav death: PM Narendra Modi took to Twitter and said, ""His Parliamentary interventions were insightful and emphasised on furthering national interest.""","India TV News Desk | October 10, 2022 10:50 IST"
Mulayam Singh Yadav Death: How a simple teacher turned into ‘Netaji’ | A timeline,Mulayam Singh Yadav Death: His caste-based politics was formidable in UP. He consolidated Yadav and Muslim votes. Yadav played a key role in almost rooting out Congress from UP.,"India TV News Desk | October 10, 2022 10:51 IST"
Mulayam Singh Yadav death: Leaders condole Samajwadi Party founder's demise | Updates,Mulayam Singh Yadav death: Mulayam Singh Yadav was admitted to the hospital in August and was shifted to ICU on October 2 and had been on lifesaving drugs since.,"India TV News Desk | October 10, 2022 23:06 IST"
Mulayam Singh Yadav dies at 82 after prolonged illness,"Mulayam Singh Yadav death: The Samajwadi Party founder was kept under life-saving drugs in the Intensive Care Unit (ICU) at the Medanta hospital in Gurugram. The news of his demise was confirmed by his son Akhilesh Yadav, who said his honourable father and everyone's Netaji is no more.","India TV News Desk | October 10, 2022 10:49 IST"
"Delhi: Over 300 firms, including hotels, restaurants to operate round-the-clock",Nightlife in Delhi: The move will help national capital's economy to grow further as traders demanded permission to keep their establishments open at night to revive their business hit by the Covid pandemic.,"India TV News Desk | October 10, 2022 9:37 IST"
"India reports over 2,400 new COVID infections in past 24 hours; active cases at 28,079",COVID19: A decline of 514 cases has been recorded in the active coronavirus caseload in a span of 24 hours.,"India TV News Desk | October 10, 2022 9:31 IST"
"On 2nd day of Gujarat visit, PM Modi to launch various projects in Bharuch & Jamnagar, address rally","PM Modi's Gujarat Visit: The Prime Minister Narendra Modi's three-day visit to Gujarat, ahead of the Assembly polls due in the BJP-ruled state later this year, is crucial to push saffron party's poll campaign.","India TV News Desk | October 10, 2022 8:53 IST"
"Mominpur violence: Suvendu Adhikari writes to HM, Guv; demands urgent CRPF deployment","Mominpur violence: With the BJP leader Suvendu Adhikari's letter for CRPF deployment in Kolkata, the political battle has intensified between BJP and TMC in West Bengal. It seems Mominpur violence became the latest flashpoint between the two embattling sides.","India TV News Desk | October 10, 2022 8:33 IST"
"AIMIM to contest all seats in future polls in Uttar Pradesh, says party's state chief","AIMIM's state party chief Shaukat Ali said, ""The 2017 elections were polarised by the BJP through the media. The Muslims thought that the Samajwadi Party could defeat the BJP.""","India TV News Desk | October 10, 2022 8:14 IST"
"Bihar: Special cell with couch, AC set up for VIP alcoholics in Samastipur","Bihar: Commenting on the set up special cell, an official said general public will not be allowed to use the facilities.","India TV News Desk | October 10, 2022 8:00 IST"
Congress leaders had comfortable time in jail: RSS responds to Rahul Gandhi’s ‘Savarkar remark',RSS leader Indresh Kumar's statement comes in the wake of Congress leader Rahul Gandhi's statement that Savarkar used to get a stipend from the British and these are historical facts.,"India TV News Desk | October 10, 2022 7:23 IST"
J&K: Two terrorists killed in ongoing encounter with security forces in Anantnag's Tangpawa area,J&K: The firefight started after a joint team of police and security forces got inputs about the presence of terrorists in the area.,"India TV News Desk | October 10, 2022 7:49 IST"
"J&K: Two LeT terrorists, tasked to lure youth into militancy, arrested from Bandipora",J&K: Police said the two arrested terrorists were given the task by their handlers across the border to mobilize the youth in Bandipora for recruiting them into the proscribed organization LeT.,"India TV News Desk | October 10, 2022 7:24 IST"
"Congress president election: Gandhi family blessing me and Mallikarjun Kharge, says Shashi Tharoor","Congress president election: One of two runners for party president polls, Shashi Tharoor kept asserting that the Gandhi family has been neutral on the ongoing campaign for the election.","India TV News Desk | October 10, 2022 6:55 IST"
Weather update: 9 killed in rain-related incidents in UP; schools across several districts closed,"Weather update: As per India Meteorological Department (IMD), Uttar Pradesh recorded an average of 22.5 mm rainfall on Sunday, which is 2396 per cent more than the 'long period average' (LPA) for the day.","India TV News Desk | October 10, 2022 7:40 IST"
"Breaking News, October 10","IndiaTV News provides you all the breaking news, latest news, breaking story videos, Live TV on a single platform to ensure you don't miss the biggest happenings in India and the world.","India TV News Desk | October 10, 2022 23:34 IST"
Gurugram: 6 children drown in rainwater-filled pit,"The incident occurred on between 3 to 4 p.m. and the victims, identified as Piyush, Varun, Rahul, Ajit, Deva, and Durgesh, were residents of Shankar Vihar colony located near the village.","India TV News Desk | October 10, 2022 0:15 IST"
"Rains: Noida, Ghaziabad, Lucknow, Kanpur and Agra schools to remain shut on Monday",The schools have been shut for class till 12. The state has already been witnessing incessant rainfalls in the past few days.,"India TV News Desk | October 10, 2022 0:23 IST"
'Abused by senior leader': Tej Pratap Yadav storms out of RJD meeting midway,"The RJD's two-day national convention began on Sunday. However, everything doesn't seem proper within the party as Bihar state President Jagdanand Singh skipped it.","India TV News Desk | October 09, 2022 22:56 IST"
"Punjab: 2 dead, 2 injured as wall of under-construction building collapses in Mohali",Punjab: Mohali police said that the rescued labourers were sent to a nearby hospital while one of them lost their life.,"India TV News Desk | October 10, 2022 0:00 IST"
PM Modi inaugurates 3D light and sound show at Surya Temple 'Sun Temple' in Modhera | WATCH,"Prime Minister Modi declared Modhera, as India's first 24X7 solar-powered village, situated in the Mehsana district.","India TV News Desk | October 10, 2022 0:25 IST"
"Gujarat's Modhera, known for Sun temple, declared India's first 24X7 solar powered village","Addressing a rally after the function, Modi said Modhera was once subject to countless atrocities of all kinds committed by invaders in the past, but is growing now with modernity while retaining its ancient character.","India TV News Desk | October 10, 2022 0:20 IST"
"Delhi: House collapses near Lahori gate, kid killed, 9 injured, rescue ops on","A four-year-old was killed and nine others injured after the roof of a house collapsed in central Delhi's Lahori Gate on Sunday evening, police said.","India TV News Desk | October 10, 2022 0:20 IST"
Rajasthan: Robbers chop off elderly woman's feet to steal anklets in Jaipur,A case has been registered against unidentified people. The SHO said the victim is undergoing treatment at the SMS Hospital.,"India TV News Desk | October 09, 2022 21:15 IST"
"UP: Girl, boy found dead in Bijnor, probe ordered","A bike, bag, 2 phones, a bottle of insecticide was also recovered from the scene. Both bodies sent for post-mortem, informed Additional SP rural, Ram Arj.","India TV News Desk | October 09, 2022 20:57 IST"
JP Nadda likely to get extension as BJP looks for continuity till next Lok Sabha polls,"JP Nadda's three-year term will end in January next year, and the BJP parliamentary board, its apex body, is expected to endorse an extension for him before that, sources said.","India TV News Desk | October 09, 2022 20:25 IST"
"Noida: Delivery boy, security guard come to blows over entry, both arrested | Watch",Noida: A video of the incident has been widely circulated on social media where the two can be seen assaulting each other with sticks.,"India TV News Desk | October 09, 2022 20:02 IST"
"Congress president polls: 'Gandhi family blessing both Kharge and me,' says Shashi Tharoor","Congress president polls: Speaking to the media after meeting party functionaries at Maharashtra Pradesh Congress Committee office here, the former diplomat also said his aim was to make Congress stronger before the 2024 polls.","India TV News Desk | October 09, 2022 19:46 IST"
'People of Gujarat voted for me irrespective of my caste': PM Modi,"Gujarat election 2022: The prime minister arrived in Gujarat on a three-day visit, where he declared Modhera in Mehsana district as the country's first 24x7 solar-powered village.","India TV News Desk | October 09, 2022 19:30 IST"
NIA conducts searches against LTTE supporters in Tamil Nadu,The searches were conducted in Salem and Sivagangai districts on Saturday and led to the recovery of incriminating materials including digital devices like compact discs related to LTTE.,"India TV News Desk | October 09, 2022 19:02 IST"
Ensure financial discipline of Northeastern states: Shah to CMs,"Amit Shah on northeast: Addressing the 70th plenary session of the North Eastern Council (NEC) here, Shah said insurgency, lack of connectivity and failure of previous governments to focus on the Northeast hampered the region's development for decades.","India TV News Desk | October 09, 2022 18:23 IST"
Karnataka govt warns cab aggregators of action if autorickshaw services not dropped by tomorrow,"The Karnataka state government had earlier issued a notice to Ola, Uber and other taxi aggregators for violating the Karnataka On-demand Transportation Technology Aggregators Rule 2016 by illegally operating autorickshaws and overcharging customers.","India TV News Desk | October 09, 2022 17:38 IST"
AAP minister Rajendra Pal Gautam resigns after row over attending mass conversion event,"According to a viral video, thousands of people were seen denouncing Hindu gods at the event.","India TV News Desk | October 10, 2022 0:24 IST"
"Many BJP cadres in Gujarat secretly support AAP, want to see their party's defeat: Kejriwal","Gujarat election 2022: Targeting the BJP over the posters that surfaced in several Gujarat cities on Saturday in which he was termed as ""anti-Hindu"", the AAP's national convener said those behind the posters were ""demons and descendants of Kans"".","India TV News Desk | October 09, 2022 17:29 IST"
Uttarakhand: Hemkund Sahib in Chamoli enshrouded in white cover after fresh snowfall | WATCH,Hemkund Sahib in Chamoli district enshrouded in a white cover of snow as it receives fresh snowfall.,"India TV News Desk | October 09, 2022 18:07 IST"
"California: Sikh family murder suspect terrorised, robbed another family 17 years ago","Jesus Salgado, who was arrested on Thursday on the suspicion of kidnapping and killing the Sikh family of four, 8-month-old Aroohi Dheri, her 27-year-old mother Jasleen Kaur, her 36-year-old father Jasdeep Singh, and her 39-year-old uncle Amandeep Singh, was sentenced to 11 years in prison in 2007.","India TV News Desk | October 09, 2022 20:04 IST"
Rahul Gandhi will be seen in new avatar after Bharat Jodo Yatra: Digvijaya Singh,Rahul Gandhi is spearheading the yatra that began from Kanyakumari and will end in Jammu and Kashmir.,"India TV News Desk | October 09, 2022 17:26 IST"
Former UP CM & SP leader Mulayam Singh still 'quite critical': Medanta Hospital,"Mulayam Singh critical: ""Yadav ji's condition is quite critical today and he is on life-saving drugs. He is being treated in the ICU of Medanta Hospital, Gurugram, by a comprehensive team of specialists,"" the hospital said in a health bulletin.","India TV News Desk | October 09, 2022 16:04 IST"
"Trishul, rising sun or mashaal: Uddhav faction explores options after EC poll symbol freeze",Shiv Sena bow and arrow symbol row: The Election Commission of India (ECI) on Saturday passed an interim order barring both Uddhav Thackeray and Eknath Shinde factions from using the party name Shiv Sena and its 'bow and arrow' poll symbol.,"India TV News Desk | October 09, 2022 14:48 IST"
"FIR in Gujarat against Pak Navy personnel for kidnapping, bid to kill Indian fishermen at sea","FIR against Pak navy personnel: As per the FIR, the incident took place around 5 pm on October 6 when seven crew members on board an Indian boat named 'Harsiddhi' were fishing in the Indian waters off the Jakhau coast.","India TV News Desk | October 09, 2022 14:02 IST"
"'Freezing democracy', Kapil Sibal slams Election Commission over Shiv Sena symbol freeze","Shiv Sena symbol freeze news: ECI has asked both the groups to furnish, latest by 1 pm on Oct 10, the names of their groups by which they may be recognised by the Commission and to this end, give three options in the order of preference, anyone of which may be approved by the Commission.","India TV News Desk | October 09, 2022 13:35 IST"
"Delhi: Post-monsoon rain brings day-night temperature margin to record low, says IMD","Delhi: According to IMD, post-monsoon rain in the area is due to the interactions of a western disturbance which lies as a trough in mid and upper air with a deep trough of easterly wind at a lower level.","India TV News Desk | October 09, 2022 13:19 IST"
Muslims using condoms most: Asaduddin Owaisi on RSS chief's 'population' remark | WATCH,"Muslim population row in India: In his address at a public meeting, Owaisi said Bhagwat will not mention this, and he should keep data before discussing population growths.","India TV News Desk | October 09, 2022 12:54 IST"
Greater Noida: Express Astra road caves in due to heavy rainfall,Greater Noida: A team of rescue workers had reached the spot soon after receiving information about the incident.,"India TV News Desk | October 09, 2022 13:21 IST"
Sonali Phogat death: Anonymous letters to family hint at 'Rs 10 crore deal' in murder case,Sonali Phogat death: Sonali's brother-in-law Aman Poonia confirmed receiving both the lettes and said both should be investigated as they hold important information regarding the case.,"India TV News Desk | October 09, 2022 12:24 IST"
Prashant Kishor attacks Nitish Kumar over 'working with BJP' remark; says 'age affecting Bihar CM',"Prashant Kishor also said age is affecting Nitish Kumar and it reflects in his ""nervousness"".","India TV News Desk | October 09, 2022 13:13 IST"
Delhi receives 2nd highest rainfall since 2007: IMD | DEETS INSIDE,"Delhi rains: The air quality index recorded at 9 am was 54 which falls in the “good” category, according to the Central Pollution Control Board data.","India TV News Desk | October 09, 2022 13:09 IST"
MK Stalin elected unopposed as DMK chief for second time,"MK Stalin, the younger son of late party patriarch M Karunanidhi, has held several party posts, including that of DMK treasurer and youth wing secretary.","India TV News Desk | October 09, 2022 11:38 IST"
Rain today: IMD warns of flash floods in eastern parts of Uttarakhand,Rain today: The pilgrimage to Hemkunt Sahib in Uttarakhand's Chamoli has stopped just a day before the closing of its doors due to heavy snowfall.,"India TV News Desk | October 09, 2022 12:19 IST"
Cong president election: 67 booths set up; stage set for 'Kharge vs Tharoor' fight on Oct 17,Congress president election: The last electoral contest for the top post of the party took place in 2000 when Jitendra Prasada had suffered a crushing defeat at the hands of Sonia Gandhi.,"India TV News Desk | October 09, 2022 10:32 IST"
K Chandrashekar Rao changed TRS name to BRS on advice of 'Tantriks': Nirmala Sitharaman,"Bharat Rashtra Samithi news: Nirmala Sitharaman said that when Telangana state was formed in 2014, it was a revenue surplus state.","India TV News Desk | October 09, 2022 9:54 IST"
UP: Six electrocuted after touching high-tension wire during Barawafat procession in Bahraich,UP: Reports said a stampede-like situation occurred as soon as the high tension wire came in contact with those taking out the procession in Bahraich.,"India TV News Desk | October 09, 2022 13:03 IST"
"COVID-19: India reports over 2,700 fresh cases in last 24 hours, active cases come down to 28,593","COVID-19: The total active cases in India have decreased to 28,593, the health ministry data showed on Sunday.","India TV News Desk | October 09, 2022 9:34 IST"
PM Modi likely to hold 40 rallies across 144 Lok Sabha seats lost in 2019 polls,"PM Modi election rallies: According to sources, in the remaining 104 seats, BJP President JP Nadda, Union Home Minister Amit Shah and other Union Cabinet Ministers will travel and hold public meetings for the party.","India TV News Desk | October 09, 2022 8:21 IST"
Meerut: 12-year-old gangrape survivor delivers baby; family seeks capital punishment for accused,"Meerut: The survivor's family members told reporters that a 19-year-old boy living in their apartment had threatened and raped her multiple times. His brother aged 21, too, had raped her.","India TV News Desk | October 09, 2022 8:20 IST"
Delhi weather update: Incessant rains improve air quality; more downpour on forecast today,"Delhi weather update: On Saturday, the traffic control room received four calls of waterlogging from Pragati Maidan, Dhaula Kuan flyover, Maharani Bagh to Kilokari and Jhandewalan roundabout on Panchkuiyan Road, an official statement read.","India TV News Desk | October 09, 2022 7:45 IST"
"Maharashtra weather update: Heavy rains, thunderstorms likely in parts of state for next four days","Maharashtra weather update: ""Mostly for the entire of Maharashtra, there are expectations of thundershowers, associated with isolated heavy rainfall,"" the weather department said.","India TV News Desk | October 09, 2022 7:41 IST"
"PM Modi declares Modhera India's first 24X7 solar-powered village, inaugurates other projects","Modi Gujarat visit Updates: Prime Minister Narendra Modi on Sunday declared Modhera in Gujarat's Mehsana district as the country's first 24X7 ""solar-powered"" village.","India TV News Desk | October 10, 2022 0:00 IST"
"Breaking News, October 9","IndiaTV News provides you all the breaking news, latest news, breaking story videos, Live TV on a single platform to ensure you don't miss the biggest happenings in India and the world.","India TV News Desk | October 10, 2022 0:01 IST"
"Nitin Gadkari announces projects worth Rs 7,000 crore for Uttar Pradesh","After the inauguration of the 81st session of the Indian Road Congress (IRC), Gadkari said a total of Rs 5 lakh crore will be invested on roads in Uttar Pradesh before 2024, an official release said.","India TV News Desk | October 08, 2022 23:47 IST"
Odisha: 9-year-old boy branded with hot iron rod by uncle & aunt,The incident came to the light when the maternal grandparents of the boy narrated his ordeal when they met him on Dushera day.,"India TV News Desk | October 08, 2022 23:40 IST"
Finance Minsister Nirmala Sitharaman interacts with vegetable vendors in Chennai | Watch,The Finance Minister interacted with the vendors and even bought vegetables from them. While interacting with the vendors she asked them about the difficulties they experienced.,"India TV News Desk | October 08, 2022 23:10 IST"
"EC bars Thackeray, Shinde camps from using Shiv Sena name, party's 'Bow & Arrow' symbol","In its interim order, EC said in Andheri East bye polls, neither of the two factions -- Uddhav Thackeray and Eknath Shinde -- shall be permitted to use the symbol ""Bow & Arrow"", reserved for ""Shivsena"".","India TV News Desk | October 08, 2022 23:57 IST"
CBI examines former J&K governor Satya Pal Malik in bribery case,"The former J&K governor Satya Pal Malik had claimed that he was offered a Rs 300 crore bribe for clearing two files during his tenure as the governor of Jammu and Kashmir between August 23, 2018 and October 30, 2019.","India TV News Desk | October 08, 2022 23:10 IST"
Kejriwal in Gujarat: God sent me to finish off descendants of Kans | Video,"Amid a row over his cabinet colleague in Delhi purportedly denouncing Hindu deities, Kejriwal's 'Tiranga Yatra' cum roadshow in Vadodara city was opposed by BJP workers in the evening who shouted 'Modi, Modi' and waved black flags at him in various localities.","India TV News Desk | October 08, 2022 21:13 IST"
Assam CM Himanta Biswa Sarma washes feet of senior BJP workers in Guwahati | WATCH,"Himanta Biswa Sarma has been accompanying Union Home Minister Amit Shah, BJP President JP Nadda, who are in Assam for various programmes.","India TV News Desk | October 08, 2022 20:53 IST"
Delhi-NCR rains: Waterlogging causes traffic snarls; more rains today,Delhi weather update: Delhi witnessed traffic snarls in several areas after incessant rainfall lashed the national capital on Saturday. Several areas across Delhi and the surrounding NCR witnessed waterlogging.,"India TV News Desk | October 09, 2022 6:15 IST"
Gujarat's Modhera all set to be declared as India’s first 24x7 solar-powered village | Photos,"Prime Minister Modi will inaugurate and lay foundation stones of multiple projects at Modhera in Mehsana on Sunday and also offer prayers at two temples. Ahead of PM Modi's visit tomorrow, take a look at visuals from Modhera village in Mehsana district.","India TV News Desk | October 08, 2022 23:55 IST"
Maharashtra: Doctor booked for incorrect sonography report leading to woman's death,"Maharashtra: The 28-year-old woman was undergoing treatment at a hospital in Kalyan between March and April 2021, during which she was referred to a sonography centre, where the accused doctor allegedly issued a report stating that the baby's growth was not proper.","India TV News Desk | October 08, 2022 20:17 IST"
Land for job scam: CBI questions Tejashwi Yadav's close aide,"Sanjay Yadav was summoned to appear before the agency on Saturday, a day after the CBI chargesheeted Lalu Prasad, Rabri Devi and their daughter Misa Bharti in the case, they said.","India TV News Desk | October 08, 2022 20:00 IST"
"Noida: Woman misbehaves with society guard, grabs his collar, case filed","The guard of a housing society was assaulted by two women after an altercation over some matter, taking cognizance of which, police got the victim's medical examination done & filed a report. Both women have been arrested and a challan issued, informed SM Khan, ADCP Central Noida.","India TV News Desk | October 08, 2022 19:44 IST"
"Be it Adani, Ambani or Amit Shah's son, will welcome all: Gehlot after BJP mocks Rajasthan CM","Be it Adani or Union Home Minister Amit Shah's son Jay Shah, Rajasthan will welcome all because it wants investment and employment, Gehlot said.","India TV News Desk | October 08, 2022 19:47 IST"
"Rajasthan: Four killed, 16 hurt in cylinder explosion in Jodhpur",Rajasthan news: Two motorcycles and a vehicle to transport the cylinders were also damaged in an explosion that claimed the lives of at least four people while hurting several others.,"India TV News Desk | October 08, 2022 17:46 IST"
"Rajasthan: Man, honeytrapped by Pak agent, arrested for sharing sensitive defence information",The arrested man had been honey-trapped by a Pakistani female agent and passed on sensitive military information to her.,"India TV News Desk | October 08, 2022 17:40 IST"
"Rahul on Adani's Rajasthan investment: 'He gave Rs 60,000 crore proposal, no CM would refuse'","Adani gave a proposal of Rs 60,000 crores to Rajasthan, no CM would refuse such a proposal. Rajasthan CM didn't give any preferential treatment to Adani or use his political power to help his (Gautam Adani's) business, Rahul Gandhi said.","India TV News Desk | October 08, 2022 19:46 IST"
Amit Shah in Assam: Will remove AFSPA only after installing peace,"Speaking on the flood situation in the state, Amit Shah while addressing a rally said, ""Give us five more years, flood in Assam will be history.""","India TV News Desk | October 08, 2022 16:34 IST"
"Vande Bharat Express enroute to Varanasi suffers technical snag, passengers shifted to another train",Vande Bharat Varanasi News: This is the third consecutive incident involving Vande Bharat in as many days.,"India TV News Desk | October 08, 2022 17:40 IST"
Rahul Gandhi clears his stance on 'remote control' Congress president,"After a gap of 22 years, elections to Congress President's post will be held on October 17. The counting of votes will be done on October 19.","India TV News Desk | October 08, 2022 15:52 IST"
"Mumbai: Fire breaks out in high-rise Chembur residential building, people cling on to balconies",At least 8 fire engines were present at the site to control the flames.,"India TV News Desk | October 08, 2022 18:49 IST"
"Bihar: 'Man-eating' tiger, which mauled nine people in Bagaha, killed","According to reports, a woman and her seven-year-old son were killed by the wild animal in Valmiki Tiger Reserve in Balua village under Govardhana police station in Bagaha.","India TV News Desk | October 08, 2022 16:14 IST"
"Invest Rajasthan Summit 2022: Be it Gautam Adani, Ambani or Jay Shah, we welcome all, says CM Gehlot","Invest Rajasthan Summit 2022: On Friday, the BJP mocked the Congress after Gehlot lavished praise on Adani, the industrialist Rahul Gandhi often highlights to allege that Prime Minister Narendra Modi helped only big businessmen.","India TV News Desk | October 08, 2022 14:32 IST"
Karnataka: Two dental colleges approach HC for students' admission; fined Rs 1 lakh each,"Karnataka: The two dental colleges that approached the high court for the admission of some students are Sri Venkateshwara Dental College, Bengaluru and KVG Dental College, Sullia.","India TV News Desk | October 08, 2022 13:49 IST"
"IAF Day 2022: Indian Air Force gets new weapon systems branch, uniform for officers | DETAILS","Indian Air Force Day 2022: IAF chief said that the key to success in multidomain operations is to have “flexible, robust and redundant command and control structures” which will allow a joint force to dominate across domains.","India TV News Desk | October 08, 2022 14:07 IST"
"Maharashtra: 50 bricks made of 50.23 kg of cocaine, valued at Rs 502 cr seized","This cocaine was getting imported in the name of same importer who was earlier arrested by DRI in case of seizure of 198 kg meth and 9Kg cocaine from the consignment of oranges originating from South Africa, earlier this month, in Vashi.","India TV News Desk | October 08, 2022 13:31 IST"
"Don't understand why Arvind Kejriwal and his gang hate Hindu, Hindutva: Kiren Rijiju",Religious conversion event row: The minister's remarks came after a video clip purportedly showing Delhi Social Welfare Minister Rajendra Pal Gautam at an event where hundreds took a pledge to convert to Buddhism while denouncing Hindu deities went viral.,"India TV News Desk | October 08, 2022 12:47 IST"
'Prashant Kishor had advised me to merge JD(U) with Congress': Nitish Kumar's latest attack,Nitish Kumar also defended ally Lalu Prasad Yadav and his family after the CBI filed a chargesheet in the alleged job scam.,"India TV News Desk | October 08, 2022 12:54 IST"
Uttarakhand avalanche update: Bad weather hampers rescue operation for missing mountaineers,"Uttarakhand avalanche update: With weather conditions obstructing the search efforts, relatives who have come to Uttarkashi from different parts of the country are getting impatient.","India TV News Desk | October 08, 2022 12:43 IST"
"Delhi hospitals see upsurge in cases of typhoid, respiratory issues; unseasonal rains a trigger","Delhi doctors said the infections are happening across all age groups but when respiratory tract infections happen among the elderly, they assume a severe form.","India TV News Desk | October 08, 2022 12:32 IST"
Jharkhand records country's highest percentage of child marriage among girls,"Child Marriage: The percentage of girls getting married before attaining majority is as high as 5.8 in Jharkhand, according to the survey brought out by the office of the Registrar General and Census Commissioner, Ministry of Home Affairs.","India TV News Desk | October 08, 2022 11:53 IST"
"Indian Air Force Day 2022: On 90th anniversary, IAF showcases its might to the world","Indian Air Force Day 2022: Since 1950, the IAF has been involved in four wars with neighbouring Pakistan. Other major operations undertaken by the IAF include Operation Vijay, Operation Meghdoot, Operation Cactus and Operation Poomalai.","India TV News Desk | October 08, 2022 11:13 IST"
"India reports over 2,700 fresh COVID-19 cases in last 24 hours | DETAILS","COVID-19: The total active cases in India have decreased to 29,251, the health ministry data showed on Saturday.","India TV News Desk | October 08, 2022 10:00 IST"
"AIIMS asks doctors, staff to report presence of unauthorised agents on hospital campus","AIIMS, in its circular, said, unidentified and unauthorised individuals belonging to certain private companies, hospitals, laboratories and radiology centres etc., are often seen roaming inside the AIIMS campus to seek monetary gain from the patients.","India TV News Desk | October 08, 2022 9:44 IST"
Chandrayaan-2 spectrometer maps abundance of sodium on moon for first time,Chandrayaan-2: The study finds that a part of the signal could be arising from a thin veneer of sodium atoms weakly bound to the lunar grains.,"India TV News Desk | October 08, 2022 9:35 IST"
Mumbai rains: Parts of city face waterlogging due to heavy showers | WATCH,Mumbai rains: IMD predicted that Mumbai touched a maximum temperature of 30 degrees Celsius and a minimum temperature likely to be 26-degree celsius.,"India TV News Desk | October 08, 2022 9:43 IST"
